state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Borno,114,25,139,187,15,0,4,1,0,0,0,0,0
Cross River,71,8,79,135,13,0,1,0,2,0,0,1,1
Delta,227,62,289,568,51,0,13,4,6,1,0,6,2
Ebonyi,87,22,109,217,20,0,2,0,0,0,0,12,2
Edo,176,54,230,569,80,0,4,2,16,0,0,9,0
Ekiti,35,3,38,74,19,0,0,1,2,1,0,0,0
Enugu,211,38,249,600,18,0,1,0,17,1,0,4,0
FCT,467,56,523,1609,240,0,27,3,4,0,0,4,33
Gombe,274,16,290,415,53,0,4,3,0,0,2,9,7
Imo,54,17,71,134,5,0,3,0,7,0,0,1,1
Jigawa,417,37,454,724,168,1,13,0,0,11,0,6,2
Kaduna,887,197,1084,1818,110,0,13,2,1,1,1,15,19
Kano,417,138,555,782,80,0,5,1,2,2,0,6,7
Katsina,76,37,113,143,10,0,2,0,0,2,0,0,2
Kebbi,229,22,251,350,57,0,0,0,0,0,0,2,0
Kogi,474,95,569,1449,132,1,9,5,13,2,0,20,11
Kwara,315,86,401,635,109,1,10,4,5,0,0,7,4
Lagos,276,48,324,1118,88,0,9,9,34,0,0,6,13
Nasarawa,556,70,626,1225,183,0,10,6,6,3,0,18,27
Niger,754,155,909,1580,124,0,8,0,2,2,0,22,1
Ogun,656,126,782,1915,260,0,7,5,7,2,0,16,7
Ondo,355,54,409,1038,95,0,11,3,8,2,0,9,22
Osun,376,29,405,883,75,0,18,6,4,1,1,13,2
Oyo,540,73,613,1337,124,0,14,5,12,2,0,14,15
Plateau,270,36,306,508,26,0,0,2,18,1,0,8,6
Rivers,58,7,65,157,20,0,4,1,3,0,0,2,3
Sokoto,103,13,116,231,19,0,3,0,1,0,1,2,1
Taraba,248,32,280,420,21,0,5,0,0,3,0,12,16
Yobe,133,63,196,272,21,0,5,0,0,1,0,3,3
Zamfara,130,10,140,185,20,0,0,0,0,1,0,8,0
TOTAL,10294,1834,12128,24192,2561,6,223,72,188,42,5,290,229
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,107,23,130,224,21,0,7,0,5,0,0,1,2
Adamawa,176,25,201,345,50,0,1,1,0,1,0,11,11
Akwa Ibom,63,12,75,125,17,1,0,4,3,1,0,1,0
Anambra,45,18,63,160,7,0,0,1,11,0,0,3,0
Bauchi,351,79,430,652,62,0,7,3,2,0,0,6,3
Bayelsa,25,4,29,82,21,0,0,0,0,1,0,0,0
Benue,273,51,324,559,51,1,6,1,3,0,1,11,8
Borno,57,7,64,94,6,0,1,0,0,0,0,0,0
Cross River,60,18,78,115,20,0,1,0,1,0,0,10,4
Delta,173,32,205,390,35,0,12,5,3,0,1,6,3
Ebonyi,76,10,86,171,11,0,3,0,1,0,0,5,1
Edo,207,36,243,447,55,0,5,1,11,0,0,5,3
Ekiti,58,13,71,174,54,0,0,0,2,0,0,2,1
Enugu,215,24,239,491,28,0,1,2,9,0,0,6,6
FCT,1028,111,1139,2664,425,0,36,16,4,3,2,18,49
Gombe,199,35,234,357,43,2,7,2,0,5,0,3,13
Imo,46,9,55,94,6,0,1,0,3,0,0,0,6
Jigawa,333,46,379,594,99,0,11,1,0,5,0,10,3
Kaduna,717,177,894,1586,99,0,15,9,2,0,0,23,9
Kano,406,74,480,683,71,0,2,2,2,2,0,6,7
Katsina,131,22,153,197,21,0,3,0,0,1,0,0,1
Kebbi,138,13,151,180,33,3,0,0,0,0,0,1,2
Kogi,395,81,476,1242,131,0,9,9,17,0,0,17,16
Kwara,342,67,409,727,67,0,4,5,4,0,3,13,11
Lagos,209,32,241,720,87,0,3,10,22,0,0,8,5
Nasarawa,602,65,667,1286,133,0,9,5,2,1,0,29,35
Niger,456,75,531,855,141,0,7,2,0,1,0,15,1
Ogun,595,90,685,1586,243,1,8,4,5,0,0,20,19
Ondo,244,35,279,529,90,0,5,4,3,1,0,13,21
Osun,245,20,265,588,61,0,12,3,6,1,0,11,4
Oyo,378,64,442,1084,106,1,22,8,15,1,0,12,13
